tic,name,ra,dec,tmag,ctl,sector 
270479402,HD 14127,34.33293448,5.360813263,8.013,0, 
93122097,HD 22213,53.568452,-12.068837,8.019,1, 
4069456,BD-05 1229,80.168416,-5.7865647,8.038,1, 
443468446,J1317-6100,199.48092,-61.010788,8.039,1, 
327667965,HIP 108422 AB,329.4649297,-68.21428472,8.042,0,1
93372641,HD 38700,86.676828,-21.826859,8.045,1, 
124286087,J1310-3248,197.58111,-32.805428,8.045,1, 
138901407,HD 36338,82.81545279,5.662746726,8.053,1, 
150249155,HD 44345,94.337347,-61.246178,8.054,1,2-Jan
241506132,J1344-4917,206.18313,-49.299366,8.063,1, 
266997586,HIP 1113,3.47218413,-74.68849644,8.072,1,1
615133,HD 30984,72.766095,-27.519758,8.089,1, 
411885590,HD 109965,189.83814,-55.654116,8.09,1, 
139285666,HD 218860 A,347.9674067,-45.13667686,8.093,1,2-Jan
401137605,J1224-5858,186.07621,-58.976471,8.094,1, 
128611991,HD 168210,274.9675658,-29.27597931,8.107,1, 
293510802,HD 240648,76.57523723,17.81628625,8.123,1, 
471012663,GJ 907.1,357.1080619,-12.98739885,8.131,0,2
242946125,HD 285252,58.77773233,16.99837579,8.137,0, 
17336696,HD 27732,65.84348635,21.37894007,8.137,1, 
59232730,J1600-3605,240.13048,-36.087898,8.139,1, 
220594926,BD+11 1690,117.58475,11.599801,8.166,0, 
235058181,TYC 8098-597-1,83.400709,-51.065574,8.17,0, 
18639254,HD 30505,72.26506619,18.64108443,8.181,1, 
245794704,HD 285773,67.38216468,17.89304615,8.182,1, 
350563576,HD 39130,86.825196,-54.841055,8.182,1,2-Jan
432613826,HD 31609,74.45657293,14.00211435,8.188,1, 
53417036,1RXS J064022.4-033154,100.09317,-3.5332316,8.189,1, 
448809197,HD 27935,66.18052217,4.699961989,8.196,1, 
159898381,HD 20379,48.821493,-37.041716,8.204,1, 
146522418,BD-21 1074 A,76.70819565,-21.5859331,8.219,1, 
78012819,HD 34970 A,80.019537,-31.166808,8.22004,1, 
78012819,HD 34970 B,80.017431,-31.166493,8.22004,0, 
464405840,HIP 92024 BC,281.404568,-64.86339005,8.223,0, 
245789646,HD 28258,67.01891192,13.86785957,8.229,1, 
18585208,HD 284787,72.17595745,21.10081314,8.231,1, 
303760478,HD 32347,75.78219164,13.73059505,8.261,1, 
260351540,AB Pic,94.80391694,-58.05412462,8.265,1,2-Jan
158595208,HIP 6856,22.03681625,-52.63883107,8.26685,1,2
261236136,HD 42270,88.372906,-81.947843,8.276,1,1
245940624,HD 29608,70.10653788,16.51360599,8.283,0, 
437836201,J0534+2137,83.65243,21.622298,8.283,1, 
389423271,J2047-3635,311.93762,-36.59501,8.284,0,1
33949103,HD 223340,357.21087,-28.121471,8.289,0,2
245800048,HD 28462,67.49099771,16.67272265,8.28906,1, 
425162657,HD 24681,58.835197,-1.729604,8.295,1, 
425940082,HIP 2729,8.714126808,-61.91636644,8.297,0,2-Jan
435930763,HD 27771,65.88519257,14.67040356,8.302,1, 
149291831,J1529-3917,232.28617,-39.290836,8.304,1, 
123723290,HD 153749,255.86982,-46.454393,8.306,1, 
452763353,V1005 Ori,74.89530608,1.783124089,8.309,1, 
76435066,J1513-3308,228.3665,-33.147285,8.314,1, 
220473309,CD-57 1054,75.19664612,-57.25676143,8.319,1,2
443761523,HD 242780,80.10615249,11.60976084,8.327,1, 
48333082,CD-40 5404,148.36708,-31.752222,8.349,1, 
284857969,TYC 698-538-2,76.979835,8.4017824,8.353,0, 
284857969,TYC 698-538-1,76.979267,8.4021744,8.353,1, 
158535216,HD 8077,19.773726,-53.850599,8.36,1,2
158067487,HD 41071,90.17218478,-44.89715469,8.365,1, 
178938417,HD 28982,68.276093,-24.01354,8.368,1, 
375058105,CD-61 1439 A,99.958188,-61.47788,8.36949,0,2
372995004,HD 286820,66.70152303,10.8710449,8.374,0, 
273311877,J1222-5101,185.60353,-51.026196,8.38,1, 
176873028,HIP 32235,100.9427904,-71.97624511,8.393,1,2-Jan
259999047,GJ 358,144.9403412,-41.06608963,8.397,0, 
272456799,J1519-3006,229.98555,-30.10692,8.398,1, 
43728182,HD 32965,76.625314,-11.043279,8.417,1, 
439971546,HD 113466,196.27167,-64.232095,8.42,1, 
270377903,HD 217379 A,345.117029,-26.31254812,8.43661,0,2
93126844,V* AI Lep,85.086468,-19.669753,8.442,1, 
15757189,HD 285367,61.41587503,17.93759779,8.443,1, 
336587521,BD+07 499,50.12259974,8.45447597,8.44953,0, 
290716990,HIP 26369 A,84.22974549,-47.96330631,8.452,0, 
