   TIC_ID ,                 RA ,                 Dec ,    Tmag ,                  Other-Name
448809197,66.18052217,4.699961989,8.196,                  HD 27935
159898381,48.821493,-37.041716,8.204,                  HD 20379
146522418,76.70819565,-21.5859331,8.219,              BD-21 1074 A
78012819,80.019537,-31.166808,8.22004,                HD 34970 A
78012819,80.017431,-31.166493,8.22004,                HD 34970 B
464405840,281.404568,-64.86339005,8.223,              HIP 92024 BC
245789646,67.01891192,13.86785957,8.229,                  HD 28258
18585208,72.17595745,21.10081314,8.231,                 HD 284787
303760478,75.78219164,13.73059505,8.261,                  HD 32347
260351540,94.80391694,-58.05412462,8.265,                    AB Pic
158595208,22.03681625,-52.63883107,8.26685,                  HIP 6856
261236136,88.372906,-81.947843,8.276,                  HD 42270
245940624,70.10653788,16.51360599,8.283,                  HD 29608
437836201,83.65243,21.622298,8.283,                J0534+2137
389423271,311.93762,-36.59501,8.284,                J2047-3635
33949103,357.21087,-28.121471,8.289,                 HD 223340
245800048,67.49099771,16.67272265,8.28906,                  HD 28462
425162657,58.835197,-1.729604,8.295,                  HD 24681
425940082,8.714126808,-61.91636644,8.297,                  HIP 2729
435930763,65.88519257,14.67040356,8.302,                  HD 27771
149291831,232.28617,-39.290836,8.304,                J1529-3917
123723290,255.86982,-46.454393,8.306,                 HD 153749
452763353,74.89530608,1.783124089,8.309,                 V1005 Ori
76435066,228.3665,-33.147285,8.314,                J1513-3308
220473309,75.19664612,-57.25676143,8.319,                CD-57 1054
443761523,80.10615249,11.60976084,8.327,                 HD 242780
48333082,148.36708,-31.752222,8.349,                CD-40 5404
284857969,76.979835,8.4017824,8.353,             TYC 698-538-2
284857969,76.979267,8.4021744,8.353,             TYC 698-538-1
158535216,19.773726,-53.850599,8.36,                   HD 8077
158067487,90.17218478,-44.89715469,8.365,                  HD 41071
178938417,68.276093,-24.01354,8.368,                  HD 28982
375058105,99.958188,-61.47788,8.36949,              CD-61 1439 A
372995004,66.70152303,10.8710449,8.374,                 HD 286820
273311877,185.60353,-51.026196,8.38,                J1222-5101
176873028,100.9427904,-71.97624511,8.393,                 HIP 32235
259999047,144.9403412,-41.06608963,8.397,                    GJ 358
272456799,229.98555,-30.10692,8.398,                J1519-3006
43728182,76.625314,-11.043279,8.417,                  HD 32965
439971546,196.27167,-64.232095,8.42,                 HD 113466
270377903,345.117029,-26.31254812,8.43661,               HD 217379 A
93126844,85.086468,-19.669753,8.442,                 V* AI Lep
15757189,61.41587503,17.93759779,8.443,                 HD 285367
336587521,50.12259974,8.45447597,8.44953,                 BD+07 499
290716990,84.22974549,-47.96330631,8.452,               HIP 26369 A
454148365,65.267713,3.2688481,8.465,              TYC 78-257-1
93700013,240.68399,-30.667051,8.476,                J1602-3040
17335733,65.8456398,19.65854114,8.481,                  V988 Tau
383337214,183.86759,-62.539104,8.484,                J1215-6232
141914082,94.61742823,-72.04453652,8.48711,                    AO Men
7586485,63.59426019,-38.31709428,8.488,                 HIP 19775
408824989,38.976286,15.248611,8.499,           TYC 1216-1411-1
79403459,320.2494629,-52.4782293,8.505,                    BS Ind
318141352,244.66054,-38.653419,8.516,                 HD 146610
318141352,244.65716,-38.653046,8.516,                J1618-3839
254771390,237.10328,-42.618046,8.518,                J1548-4237
164911256,191.9659019,-51.44400074,8.522,                  V940 Cen
436998675,194.0387,-61.457146,8.533,                 HD 112245
7444999,81.595816,-43.376699,8.543,                CD-43 1846
245824893,67.90507192,17.70964408,8.547,                  HD 28634
456863710,57.60458309,17.24641575,8.55165,                  V471 Tau
245837275,68.408622,16.762393,8.552,                  HD 28878
245873351,69.02236,15.683904,8.555,                  HD 29159
372897088,65.60753652,11.30566735,8.563,                 HD 286770
220433363,73.38097414,-55.85997587,8.591,              CD-56 1032 A
436614427,71.70645625,17.74819921,8.60034,                  HD 30264
76587359,228.80816,-30.977825,8.601,                J1515-3058
245787510,66.94641298,14.41767003,8.608,                 HD 285830
304437284,259.560544,-60.45803628,8.611,                  V857 Ara
66534229,16.6094018,-14.29681261,8.613,                HD 6569 AB
401820823,351.95911,-86.222037,8.614,                 CD-86 147
451452509,171.55233,-58.386402,8.618,                  HD 99486
453661520,205.86858,-54.612185,8.62,                 HD 119269
165980070,110.9313307,20.41533054,8.639,                  V429 Gem
435903398,64.58081422,16.08823427,8.647,                 HD 285690
401913214,52.705119,-45.932622,8.65,                CD-46 1064
434101713,353.1291835,-12.26463718,8.687,                BD-13 6424
9210746,352.557387,-20.3918139,8.689,                   GJ 1284
360323842,262.47945,-54.263778,8.692,                CD-54 7336
429383724,207.11364,-67.45532,8.704,                 HD 119912
13955147,75.21628763,-41.01849128,8.71,                 HIP 23316
224278523,355.476585,-35.97800049,8.732,                 HD 222575
440701115,58.02117507,18.13473529,8.737,                 BD+17 641
259648079,153.3111208,-52.51496062,8.738,                    TWA 21
166852312,40.44581831,-52.99794642,8.755,                 CD-53 544
238413980,71.787663,20.882104,8.786,                 HD 284785
435883876,64.59213272,17.42142924,8.79,                 HD 285663
245863402,68.634485,15.827472,8.79659,                  HD 28977
93932740,241.0297,-35.176876,8.803,                J1604-3510
450060052,75.49513284,9.982558818,8.804,            HIP 23418 ABCD
436567527,70.815823,17.068995,8.832,                  HD 29896
464829758,75.20399712,4.733153564,8.839,                 BD+04 810
345480097,62.456275,9.305469129,8.84616,                 HD 286572
354571604,84.30387189,-42.71550182,8.852,                  WX Col A
90932505,308.03752,-47.702381,8.862,                 HD 195266
332660498,63.189146,-13.132665,8.869,                 BD-13 835
165295812,179.30163,-36.082661,8.88,                J1157-3604
435910116,64.90436197,12.62424888,8.88088,                NLTT 13010
247439806,85.49562125,15.33704722,8.892,                J0541+1520
436640815,72.215643,15.947454,8.901,                J0448+1556
348664634,61.9305274,16.51868617,8.914,                 HD 285482
44670258,60.016316,-29.037953,8.92,                  HD 25284
309817108,184.8397885,-64.90289838,8.94,               CPD-64 1859
335376063,194.6060868,-70.48038776,8.945,                CD-69 1055
245937103,69.9628238,12.72841098,8.94525,                 HD 286929
399617812,72.19812,9.6743107,8.947,                 HD 287167
373420734,76.41849375,6.465199339,8.948,                 V1362 Ori
325178532,340.7051511,-71.70610705,8.954,                J2242-7142
318785502,40.35819878,5.988206954,8.954,                 BD+05 378
17383020,66.0710683,18.0027928,8.969,                  V990 Tau
234299476,358.66833,-60.859698,8.978,                CD-61 6893
419610508,320.3708095,-66.91883638,8.994,                J2121-6655
268894000,177.49214,-59.800831,8.997,            TYC 8643-593-2
33974979,146.06835,-44.647124,9.002,                CD-44 5788
268129495,176.4650172,-55.34603965,9.003,                J1145-5520
287405060,82.363147,-68.867872,9.005,                 HD 269620
60908053,66.678121,12.686619,9.013,                 HD 286798
23325655,167.3070588,-30.02782806,9.024,                   TWA 2 A
142178693,37.635509,-43.706529,9.025,                 CD-44 753
17518225,66.996147,18.500111,9.041,                 HD 285766
460604193,158.26189,-61.739498,9.041,                 HD 305342
242944633,58.75656549,12.48554368,9.04113,                 HD 286363
70596114,60.568973,-15.358392,9.047,                 BD-15 705
14331880,60.91320847,19.45487363,9.05916,                 HD 285348
278024057,105.1270871,-79.69585739,9.096,                 HIP 33737
121779961,226.20363,-39.82341,9.106,                 HD 133259
231064750,31.884972,-59.672611,9.143,                 CD-60 416
201426753,92.33001524,-35.82552959,9.151,                CD-35 2722
165823257,204.4885202,-41.5784112,9.159,                CD-40 8031
57513388,172.9798242,-34.60765084,9.165,                  TWA 5 Aa
454961345,179.6165426,-77.90825615,9.171,          RX J1158.5-7754A
394210384,10.586272,-77.7945,9.179,                  CD-78 24
339812943,200.5309665,-69.63681102,9.185,                    MP Mus
435928142,65.85587668,15.76301267,9.18642,                  V989 Tau
161476008,72.973264,-46.786976,9.191,                  HD 31242
359740883,140.8955123,-61.19322832,9.193,                 HIP 46063
45962684,131.59859,-56.766816,9.203,           TYC 8577-2627-1
123975662,91.282724,-21.725215,9.208,            TYC 5944-411-1
348839788,98.84264,-57.626208,9.218,            TYC 8543-967-1
348839788,98.843302,-57.625978,9.218,                J0635-5737
18799303,73.09839671,18.99676069,9.22139,                 HD 284930
44670257,60.016853,-29.041148,9.222,           TYC 6461-1120-2
333680372,56.8480083,-1.973349304,9.255,                 HIP 17695
119289797,96.528825,-41.048222,9.277,                CD-40 2458
245787593,66.856027,14.260584,9.27806,                 HD 285828
389018596,61.75564517,15.33494701,9.28019,                 HD 285507
159923666,49.012979,-37.422877,9.291,                CD-37 1224
170867166,70.315733,-35.232825,9.3,                CPD-35 525
151764983,167.6156942,-37.53105289,9.306,                  TWA 3 Aa
151764983,167.6154477,-37.53143377,9.306,                   TWA 3 B
198051539,62.981937,-58.029701,9.312,                 CD-58 860
262248639,199.58546,-54.358997,9.316,                CD-53 5069
381458976,66.72687389,13.13810785,9.33447,                 HD 286789
468898917,57.05016873,7.146270705,9.34679,                 LP 533-57
214640977,318.2723316,-17.48746767,9.352,                 HD 201919
54147487,160.6248305,-33.67125724,9.354,                     TWA 7
219710368,154.22171,-51.169017,9.366,                 HD 297970
206605718,341.2424085,-33.25099799,9.37,              HIP 112312 A
134873712,183.8775844,-39.81195266,9.372,                    TWA 25
23491633,269.30887,-41.993029,9.38,                  L 415-82
245927009,252.3053402,-43.92461291,9.387,                 HD 326277
61257910,68.40540281,21.15065819,9.39798,                 HD 284552
107461667,212.41714,-35.69338,9.407,                CD-35 9294
436648713,72.503338,16.411948,9.408,                 HD 286085
434233518,63.71689121,13.05486192,9.41054,                 HD 286589
397350406,68.171009,19.113342,9.415,                 HD 285836
308183430,130.38469,-68.427158,9.416,                   S1* 329
27137427,76.955549,17.981561,9.447,                  Wolf 230
453684455,157.51409,-74.542159,9.452,                 CD-73 584
33593656,28.573921,-29.390055,9.457,                 CD-30 658
79566479,52.98235139,-43.98711439,9.459,                CD-44 1173
365424405,48.143094,9.7488198,9.463,                 V* HW Cet
140460192,20.5190453,-33.61790922,9.466,                 CD-34 521
61259135,68.42513787,19.01389342,9.47531,                 HD 285837
